epoch,acc,loss,val_acc,val_loss
0,0.66912806,0.6017370749386628,0.92541057,0.4336559113359799
1,0.9238285,0.23289073840422714,0.9489051,0.24571247050796982
2,0.9392786,0.19671016730763838,0.94753647,0.25017958901224346
3,0.9405851,0.18975403382940426,0.9489051,0.24733662463887765
4,0.9418915,0.18285605448492037,0.94092155,0.2152174719928825
5,0.94314116,0.18046941168413722,0.9466241,0.2120162690207906
6,0.9445044,0.1714312832278814,0.9473084,0.21054340306207212
7,0.9447316,0.17041779898173973,0.9292883,0.22282024652418428
8,0.9463221,0.16608467486831688,0.93202555,0.238475930027283
9,0.9477087,0.16592880158250756,0.9484489,0.18400326828016852
10,0.9489703,0.161867852218859,0.9466241,0.18977631894993957
11,0.94558364,0.16817114863611357,0.9395529,0.19723954851174877
12,0.9494669,0.16131077656106593,0.93248177,0.21706133700200242
13,0.9480601,0.15759064217768495,0.9457117,0.18764714858610265
14,0.94853735,0.15786363316831586,0.946396,0.1777350488696655
15,0.950071,0.15641242564507454,0.9347628,0.1958681539679966
16,0.94825333,0.1573837957726101,0.92746353,0.22557150360441555
17,0.9493326,0.15496503340862786,0.9354471,0.19693449998859072
18,0.94859415,0.15386339950226344,0.9479927,0.17273490011256976
19,0.950355,0.1510152166673331,0.94981754,0.1821342125861314
20,0.9505254,0.14868554078112337,0.9400091,0.19032316002314978
21,0.94825333,0.15717213384381787,0.94069344,0.19418399139259854
22,0.9507526,0.1512485074390914,0.9473084,0.17269032758517858
23,0.9518319,0.1460539542501213,0.9384124,0.19880486660412627
24,0.9505254,0.15091985571580374,0.94548357,0.1798439078631192
25,0.9496734,0.14618064196094196,0.94160587,0.18271596381699082
26,0.9500142,0.14861144108702534,0.9393248,0.1818433618240983
27,0.950923,0.14563815490287396,0.93339413,0.19762761782120614
28,0.95109344,0.1456171399973242,0.9457117,0.15824737573844672
29,0.9490486,0.14911159057055356,0.94365877,0.172312432125102
30,0.9496734,0.14683703333731912,0.93225366,0.18936581170036845
31,0.9520023,0.14415933201510064,0.94274634,0.16923396177861813
32,0.95115024,0.14463936603715122,0.9365876,0.18616009226245603
33,0.9517751,0.1404075250717277,0.94502735,0.16243454884656156
34,0.9505254,0.14461916209857417,0.94479924,0.18042119521729266
35,0.95143425,0.13873731286614896,0.93430656,0.18486529006792682
36,0.9505254,0.14326447478858703,0.94069344,0.1860813935742761
37,0.9532519,0.13672863896724574,0.9479927,0.16915739528889204
38,0.9529679,0.14013458397763168,0.93886864,0.1775025605720325
0,0.582505,0.6710843206704662,0.6806569,0.6487406518337501
