,f1-score,precision,recall,support
False,0.955360409806074,0.979002624671916,0.9328331546981065,2799.0
True,0.9560993163008276,0.9339191564147628,0.979358643568006,2713.0
micro avg,0.9557329462989841,0.9557329462989841,0.9557329462989841,5512.0
macro avg,0.9557298630534508,0.9564608905433394,0.9560958991330561,5512.0
weighted avg,0.9557240987248451,0.9568125939422976,0.9557329462989841,5512.0
