,f1-score,precision,recall,support
False,0.9056018608257415,0.9898305084745763,0.8345837799214005,2799.0
True,0.9169650468883205,0.8531091370558376,0.9911537043862882,2713.0
micro avg,0.9116473149492017,0.9116473149492017,0.9116473149492017,5512.0
macro avg,0.9112834538570309,0.921469822765207,0.9128687421538444,5512.0
weighted avg,0.9111948078119128,0.9225364082098741,0.9116473149492017,5512.0
