,f1-score,precision,recall,support
False,0.9433047370384186,0.9867342957471713,0.9035369774919614,2799.0
True,0.9463087248322147,0.9084435401831129,0.987467747880575,2713.0
micro avg,0.9448476052249637,0.9448476052249637,0.9448476052249637,5512.0
macro avg,0.9448067309353166,0.9475889179651421,0.9455023626862682,5512.0
weighted avg,0.9447832963425856,0.9481996767621766,0.9448476052249637,5512.0
