epoch,acc,loss,val_acc,val_loss
0,0.5082647,0.710171621406461,0.5009124,0.6924674132444563
1,0.50735587,0.6946131233869713,0.5102646,0.692719526534533
2,0.506447,0.6937444000547496,0.4990876,0.6933355113885699
3,0.50985515,0.6934737763259939,0.4990876,0.6936531367093107
4,0.5003692,0.6937100418654737,0.5009124,0.6932713371993852
5,0.5022437,0.6935415214349248,0.4990876,0.6931834142573559
6,0.4992332,0.6934271184838112,0.4990876,0.693525549704141
7,0.5033229,0.6933044921061898,0.4990876,0.6934605245172543
8,0.4974155,0.6934503698409941,0.4990876,0.6931493499853315
9,0.49883556,0.6933572938245185,0.4990876,0.6931789112787177
10,0.5049702,0.6932488822253107,0.4990876,0.6934331594592463
