,f1-score,precision,recall,support
False,0.9440715883668905,0.9871345029239766,0.9046087888531619,2799.0
True,0.9469964664310955,0.9093993892093655,0.9878363435311464,2713.0
micro avg,0.9455732946298984,0.9455732946298984,0.9455732946298984,5512.0
macro avg,0.945534027398993,0.9482669460666711,0.9462225661921542,5512.0
weighted avg,0.9455112099540073,0.9488733702121225,0.9455732946298984,5512.0
