,f1-score,precision,recall,support
False,0.2795698924731183,0.9978070175438597,0.1625580564487317,2799.0
True,0.6981593512678594,0.5363924050632911,0.9996314043494287,2713.0
micro avg,0.5745645863570392,0.5745645863570392,0.5745645863570392,5512.0
macro avg,0.48886462187048885,0.7670997113035753,0.5810947303990802,5512.0
weighted avg,0.48559913806639343,0.7706992810308367,0.5745645863570392,5512.0
