epoch,acc,loss,val_acc,val_loss
0,0.6915081,0.5499806541284016,0.7251369,1.0561231113698362
1,0.93200797,0.22661767653259693,0.7951642,0.8569696901814781
2,0.9382562,0.20692653599973093,0.8458029,0.5879098603869006
3,0.9422891,0.1916104851320737,0.64895076,1.9116384317405033
4,0.94836694,0.17058993811568088,0.6514599,2.005263406429848
5,0.9464925,0.1716203488195799,0.63503647,2.0571037430832857
6,0.9533087,0.15669058509016537,0.584854,2.47379424189129
7,0.9527975,0.15646853797694257,0.5761861,2.4553772358998764
8,0.954956,0.1520176686238613,0.59739965,2.143750529219634
9,0.9547856,0.14824318185785096,0.6348084,1.9904823303222656
10,0.9548992,0.14874625883126794,0.55634123,2.622645907158399
11,0.9548992,0.14807781468515063,0.520073,3.1353101669436825
12,0.95433116,0.14889332885237386,0.5,3.220560935291931
