epoch,acc,loss,val_acc,val_loss
0,0.77631354,0.44027143090463977,0.9356752,0.21344827686565637
1,0.9353593,0.21800542733346628,0.92335767,0.21819694715477253
2,0.93564326,0.20227392755662538,0.93248177,0.19890690374657186
3,0.94569725,0.17031394558869042,0.946396,0.16968057645879087
4,0.94990057,0.1620230020281775,0.9555201,0.1660117851774188
5,0.9554104,0.15210340748779377,0.95392334,0.14717555153489548
6,0.9564328,0.14668708084739937,0.9600821,0.1424612989853116
7,0.956376,0.14150379364487461,0.95255476,0.16850556403289746
8,0.9592161,0.13730216448329383,0.9468522,0.16109497117789556
9,0.9580801,0.13539348430381398,0.957573,0.14134114299540537
10,0.9591593,0.13021995532063219,0.95666057,0.14453021134419816
11,0.9608634,0.12674462831145625,0.953011,0.152093249359542
12,0.9608066,0.12648658288711007,0.9582573,0.14145095325516957
13,0.9606398,0.12447359820932637,0.9591697,0.13719260716389348
14,0.9633633,0.11668580546536443,0.95666057,0.14417009887006813
15,0.96245384,0.11960431272708867,0.957573,0.1411075204216542
16,0.9635899,0.1172664170996417,0.9578011,0.1394761939512661
17,0.96239704,0.11671642210716485,0.959854,0.1331611385392229
18,0.96126103,0.11760397915297512,0.9589416,0.14339498229950232
19,0.9644419,0.11188244486999457,0.959854,0.1338328038593822
20,0.96518034,0.10672451454497507,0.9584854,0.14398902114208814
21,0.9638739,0.10832066693213879,0.9603102,0.1387354269161494
22,0.96529037,0.10576405796896794,0.9568887,0.1374315140891249
23,0.96620774,0.10400643235772443,0.9593978,0.137719361036744
24,0.96682763,0.10461150881001402,0.9596259,0.1388917960444071
25,0.9659188,0.10324398564940249,0.9589416,0.14518173701762066
26,0.96853167,0.09922417024855662,0.9603102,0.14283629274675555
27,0.9685885,0.09795673430522492,0.957573,0.1380955009877573
